OBJECTID,Park Name,PMA Name,Street Address,Tax Parcel ID,Subject Parcel,Property Management Area,Property Owner,Lease?,Maintenance Responsibility,Park Use,Acquisition date,Name Flag,Date reviewed,AMWOID,Spatial Data Quality Level,SE_ANNO_CAD_DATA,GIS_CRT_DT,GIS_EDT_DT,GlobalID
357292,WEST DUWAMISH GREENBELT,West Duwamish Greenbelt, ,2840200275,23053,282,DPR,N,DPR,,12/26/2014 12:00:00 AM,9,4/9/2015 12:00:00 AM,PROPERTY-WDUWANDR,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,c9017f65-7daa-4032-887f-ad6a437a024d
355703,GENESEE PARK AND PLAYFIELD,Genesee Park and Playfield, ,7950304230,1779,409,DPR,N,DPR,,1/1/2099 12:00:00 AM,9,4/8/2004 12:00:00 AM,PROPERTY-GENPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,e9eee971-59c7-4956-96b7-d3186b665355
357695,SAM SMITH PARK,Sam Smith Park,1400 MLK JR WAY S, ,21527,4242,WSDOT,Y,DPR,,2/13/1997 12:00:00 AM,9,8/15/2001 12:00:00 AM,PROPERTY-I90,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,d077d9eb-ed88-4924-8fca-63e76ed979ea
355371,AMY YEE TENNIS CENTER,Amy Yee Tennis Center,2000 MLK JR WAY S,1498303561,15522,426,DPR,N,DPR,,6/11/1976 12:00:00 AM,9,5/13/2003 12:00:00 AM,PROPERTY-AMYYEETC,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,14d974b6-df0e-474f-bf8a-00e04995b247
356035,MADRONA PARK,Madrona Park, ,4114600995,1237,370,DPR,N,DPR,,5/3/1910 12:00:00 AM,9,11/20/2000 12:00:00 AM,PROPERTY-MDRPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,c2a8a129-5a98-4055-acff-c6cd7b104fa9
356699,SW QUEEN ANNE GREENBELT,SW Queen Anne Greenbelt, ,6169900327,4587,234,DPR,N,DPR,,1/1/2099 12:00:00 AM,9,12/30/1899 12:00:00 AM,PROPERTY-SWQAGRB,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,1b7d8dc1-4290-4e45-a4d7-3678b2e3ace4
357956,BELLEVUE PLACE,Bellevue Place, , ,5003,4022,WSDOT,N,DPR,,1/1/2099 12:00:00 AM,2,8/3/1998 12:00:00 AM,PROPERTY-BLVUPLC,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,8fafc83b-d7aa-4a76-a583-a9eeb3d6b051
357363,CONDON WAY CENTERSTRIP,Condon Way Centerstrip, , ,5007,4030,SDOT,N,DPR,,1/1/2099 12:00:00 AM,2,12/30/1899 12:00:00 AM,PROPERTY-CWCST,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,0a47debc-6199-4e80-bad4-1838e336047b
356367,DISCOVERY PARK TIDELANDS,Discovery Park Tidelands, ,7666200311,20225,2952,DNR,Y,DPR,,11/19/1975 12:00:00 AM,9,4/29/1999 12:00:00 AM,PROPERTY-DPTIDE,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,77223752-3f23-41f2-ba01-80a5b19234c6
357031,GOLDEN GARDENS PARK,Golden Gardens Park, ,0325039001,84,243,DPR,N,DPR,,12/31/1923 12:00:00 AM,9,4/9/2004 12:00:00 AM,PROPERTY-GGPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,dc71e1dd-8c0e-4e97-93f3-5bb9cb731533
357624,KINGFISHER NATURAL AREA ON THORNTON CREEK,Kingfisher Natural Area on Thornton Creek, ,5101407870,1312,4480,DPR,N,DPR,,1/1/2099 12:00:00 AM,2,6/16/2011 12:00:00 AM,PROPERTY-TCPK2,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,7812918f-38a2-4e44-aa17-388dd4098a70
356012,JUDKINS PARK AND PLAYFIELD,Judkins Park and Playfield, ,6058600515,3915,397,SSD1,Y,DPR,,1/29/1997 12:00:00 AM,9,11/20/2014 12:00:00 AM,PROPERTY-JKPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,38d2903d-042e-41bf-b9c0-029afa9cec64
357340,JUDKINS PARK AND PLAYFIELD,Judkins Park and Playfield, ,6058600530,3915,397,SSD1,Y,DPR,,1/29/1997 12:00:00 AM,9,11/20/2014 12:00:00 AM,PROPERTY-JKPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,6c579bb0-cb73-4c15-9ed6-9e049aeccf13
356676,MADRONA PARK,Madrona Park, , ,1237,370,DPR,N,DPR,,5/2/1910 12:00:00 AM,9,11/20/2000 12:00:00 AM,PROPERTY-MDRPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,9063469d-1b9b-4e6d-9503-bc114e29769c
355348,SW QUEEN ANNE GREENBELT,SW Queen Anne Greenbelt, ,7705100021,1726,234,DPR,N,DPR,,1/26/1993 12:00:00 AM,9,3/30/2004 12:00:00 AM,PROPERTY-SWQAGRB,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,c1419c3c-bb75-4cb1-be4b-0c0aa6689044
355680,FAIRVIEW PARK,Fairview Park, ,1966200005,9967,2975,DPR,N,DPR,,4/15/1994 12:00:00 AM,9,5/28/1998 12:00:00 AM,PROPERTY-FVPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,5b045d8e-2804-4287-8e9b-425a8021a95a
357008,FAIRVIEW PARK,Fairview Park, ,1967200060,559,2975,DPR,N,DPR,,4/15/1994 12:00:00 AM,9,4/27/1998 12:00:00 AM,PROPERTY-FVPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,41e2112c-9614-4859-be6d-be33f8bf9544
356344,DISCOVERY PARK TIDELANDS,Discovery Park Tidelands, ,7666200311,20225,2952,DNR,Y,DPR,,11/19/1975 12:00:00 AM,9,4/29/1999 12:00:00 AM,PROPERTY-DPTIDE,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,76c780c3-57cd-44fb-a507-00970635655d
357672,RAINBOW POINT,Rainbow Point,631 NE Banner Pl, ,4916,4045,DPR,N,DPR,,1/1/2099 12:00:00 AM,2,4/9/2004 12:00:00 AM,PROPERTY-RBPTPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,da5e11de-29f2-4bd2-860a-a66f9ca760e4
355417,EAST DUWAMISH GREENBELT,East Duwamish GS: S Chicago St, ,0603002280,157,443,DPR,N,DPR,,10/6/1994 12:00:00 AM,9,4/8/2004 12:00:00 AM,PROPERTY-EDUWC,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,8f347ba8-c1eb-4e48-b131-864686ad73e0
357077,S.W. COMMUNITY CENTER AND POOL,S.W. Community Center and Pool,,,16417,3996,SSD1,Y,DPR,,7/1/2004 12:00:00 AM,9,8/11/2004 12:00:00 AM,PROPERTY-SWCCGR,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,05426672-ec7f-4cb9-87e5-f79926763e50
357741,PUGET CREEK GREENSPACE,Puget Creek Greenspace,1901 SW Brandon St,3438500612,9758,3993,DPR,N,DPR,,5/6/1998 12:00:00 AM,9,9/4/1998 12:00:00 AM,PROPERTY-PUGCRNA,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,2ea2d3ae-01dc-4bdc-b881-12a0d82694a0
356745,JEFFERSON PARK,Jefferson Park,,1624049080,33028,114,SPU,N,DPR,,,9,3/14/2011 12:00:00 AM,PROPERTY-JEFFPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,7d31d06d-ccdb-4143-9b92-19c4cce0f808
357409,LAKE WASHINGTON BOULEVARD,Lake Washington Boulevard, ,4114601830,1239,412,DPR,N,DPR,,12/31/1909 12:00:00 AM,9,4/9/2004 12:00:00 AM,PROPERTY-LKWBLN,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,3d877a2f-e7d5-4d1d-85a4-c624e442f170
356413,HOWELL PARK,Howell Park, ,1954708888,2108,359,DPR,N,DPR,,12/31/1901 12:00:00 AM,2,4/9/2004 12:00:00 AM,PROPERTY-HWLPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,c5aa8bd9-2c2a-4eca-9fcd-7ccafa7fa696
355749,MAGNOLIA TIDELANDS PARK,Magnolia Tidelands Park, ,7666200360,20230,3041,DNR,Y,DPR,,11/19/1975 12:00:00 AM,9,5/25/1999 12:00:00 AM,PROPERTY-MGLTLPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,6b002a5f-1bc6-4d3f-9044-1b116ac8800c
356081,6TH AVENUE NW POCKET PARK,6th Avenue NW Pocket Park,606 NW 76th St,7519001935,1617,3158,DPR,N,DPR,,8/29/2003 12:00:00 AM,2,3/25/2004 12:00:00 AM,PROPERTY-6NWPPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,443641dc-28c6-477e-8918-9c400b32bfb3
357386,EAST DUWAMISH GREENBELT,East Duwamish GS: S Chicago St, ,0603001220,4711,443,DPR,N,DPR,,10/6/1994 12:00:00 AM,9,4/8/2004 12:00:00 AM,PROPERTY-EDUWC,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,a9cc7cab-4f26-4ec9-9bf7-e77dab987daf
356058,WEST DUWAMISH GREENBELT,West Duwamish GS: Riverview, ,3024049011,21801,4407,DPR,N,DPR,,9/5/1995 12:00:00 AM,9,4/6/2004 12:00:00 AM,PROPERTY-WDURV,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,91578071-7e11-4221-be2a-84933cf4fd43
356390,DUWAMISH HEAD GREENBELT,Duwamish Head Greenbelt,,7987400710,4788,284,DPR,N,DPR,,4/9/2012 12:00:00 AM,9,6/7/2012 12:00:00 AM,PROPERTY-DUWAD,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,fd95577c-c2aa-46dc-a8ea-4db07161a40f
355726,EAST DUWAMISH GREENBELT,East Duwamish GS: I-90, ,5392600025,1363,283,DPR,N,DPR,,10/6/1994 12:00:00 AM,9,4/7/2004 12:00:00 AM,PROPERTY-EDUWI,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,9068e1e5-516b-423e-bb5c-ded365e03ddd
357054,TASHKENT PARK,Tashkent Park, ,6850700635,1530,384,DPR,N,DPR,,1/1/2099 12:00:00 AM,2,,PROPERTY-TASHPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,d66854de-1e95-448f-a6f4-15d5c9d10a30
356722,SW QUEEN ANNE GREENBELT,SW Queen Anne Greenbelt, ,7705100175,1732,234,DPR,N,DPR,,1/1/2099 12:00:00 AM,9,3/30/2004 12:00:00 AM,PROPERTY-SWQAGRB,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,c569ed9e-9b10-47c8-8858-525c246d05bc
357718,LAWTON PARK,Lawton Park,4005 27th Ave W,0369000315,3807,316,DPR,N,DPR,,1/1/2099 12:00:00 AM,9,12/30/1899 12:00:00 AM,PROPERTY-LWTPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,9ed966fb-906d-404f-b478-6a1a5d59a7e6
355394,RAVENNA PARK,Ravenna Park, ,7172700040,1591,391,DPR,N,DPR,,1/1/2099 12:00:00 AM,9,2/12/2004 12:00:00 AM,PROPERTY-RAVPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,9134cc82-51da-4bd1-bde4-dcdf1dda0cef
356530,EAST DUWAMISH GREENBELT,East Duwamish GS: S Chicago St, ,7897300015,1765,442,DPR,N,DPR,,10/6/1994 12:00:00 AM,9,4/8/2004 12:00:00 AM,PROPERTY-EDUWSC,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,1f9b17d6-4eeb-47d6-b95e-a71aaa1acbcf
356536,EAST DUWAMISH GREENBELT,East Duwamish GS: S Chicago St, ,0603002520,165,443,DPR,N,DPR,,10/6/1994 12:00:00 AM,9,4/8/2004 12:00:00 AM,PROPERTY-EDUWC,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,1d23ac5a-f6e1-420d-a9ec-44c38bdc6cfc
357864,WEST SEATTLE GOLF COURSE,Longfellow Creek GS: Central, ,9284802695,2044,265,DPR,N,DPR,,1/1/2099 12:00:00 AM,9,12/30/1899 12:00:00 AM,PROPERTY-LFCRNA,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,507dee1d-3fc5-4d4f-8e4b-f04325fd71cc
355872,WEST DUWAMISH GREENBELT,West Duwamish Greenbelt, ,7547800345,1628,282,DPR,N,DPR,,3/29/1995 12:00:00 AM,9,4/1/2004 12:00:00 AM,PROPERTY-WDUWANDR,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,45889477-bb08-49f9-83ba-f159e18037ea
355866,JUDKINS PARK AND PLAYFIELD,Judkins Park and Playfield, ,2460900155,738,397,DPR,N,DPR,,1/1/2099 12:00:00 AM,9,12/30/1899 12:00:00 AM,PROPERTY-JKPK,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,dba15b26-35f0-418f-a989-c481a21290a3
356459,AMY YEE TENNIS CENTER,Amy Yee Tennis Center,2000 MLK JR WAY S,1498303565,384,426,DPR,N,DPR,,12/31/1983 12:00:00 AM,9,5/13/2003 12:00:00 AM,PROPERTY-AMYYEETC,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,8b92d940-b304-40c7-b3ff-95a5de66fe77
357194,PIPERS CREEK NATURAL AREA,Pipers Creek Natural Area,600 NW 117TH ST,8894000010,9565,275,DPR,N,DPR,,10/14/1993 12:00:00 AM,9,4/9/2004 12:00:00 AM,PROPERTY-PIPCRNA,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,49248d5d-5e91-4443-a8f8-38e49841a8b8
355279,MONTLAKE PLAYFIELD,Montlake Playfield, ,6788202280,1507,376,DPR,N,DPR,,12/31/1933 12:00:00 AM,9,3/30/2004 12:00:00 AM,PROPERTY-MTLKPF,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,e5540785-e944-4a88-89e1-e19032d30776
355202,UNIVERSITY PLAYGROUND,University Playground,4745 9th Ave NE,1426300720,216,435,DPR,N,DPR,,12/31/1910 12:00:00 AM,2,12/30/1899 12:00:00 AM,PROPERTY-UPG,QL-D1,System.Byte[],3/21/2024 10:36:20 AM,3/21/2024 10:36:20 AM,6eb1d2e7-6b8a-4145-93b6-6330b9f57983
