OBJECTID,NAME,OWNER,GLOBALID,Spatial Data Quality Level,Shape__Area,Shape__Length
10973,Sakuma Viewpoint,UW,ce303ef5-8a03-402d-a510-8c8280a20947,QL-D3,15637.74609375,533.437801972068
10974,Ruby Chow Park,Private,b442c3f0-842e-4e70-b930-3b172c3ac5fd,QL-D3,79997.7561950684,1232.08840673849
10975,Seattle Center,CoS,c1d5673e-6c40-4745-84de-79b0abfa696d,QL-D3,131142.391784668,1475.00836028184
10976,Shilshole Bay Marina,Port,a09b2339-92a0-4f31-817b-74822749e9c4,QL-D3,732177.02911377,8804.55155143377
10977,Burke-Gilman Trail,SDOT,eb8f013b-20d6-491c-919c-bb57218b658b,QL-D3,6102.4280090332,1159.86581570162
10978,Myrtle Edwards Park,SDOT,34c55a96-51dc-4a65-81a5-8c7d99fa4728,QL-D3,17366.0489196777,616.681842751127
10979,Olympic Sculpture Park,SAM,2f2d20e5-dd03-410e-8220-0dae64aab34b,QL-D3,165746.175628662,1894.14761047403
10980,Burke-Gilman Trail,SDOT,e72fada2-94e8-454a-b7a7-8b9bbdb5f581,QL-D3,1426.8557434082,188.778826142105
10981,South Ship Canal Trail,SDOT,27dbc3fa-d6b2-45a6-8906-d7fe25cedd5c,QL-D3,219545.734954834,8352.89071361262
10982,Jack Block Park,Port,27eb002b-942d-406d-9575-b365e89053fd,QL-D3,336043.294570923,7761.51908123025
10983,Myrtle Edwards Park,SDOT,f5bc17a0-231a-4419-9a5e-7821fbd01db0,QL-D3,33619.5103149414,922.115426207729
10984,Burke-Gilman Trail,SDOT,215a9aac-7d9f-49d4-8838-aac33da72db6,QL-D3,23196.7379455566,700.491300616771
10985,Burke-Gilman Trail,SDOT,2fcc8a71-7aba-487d-b887-0d38a3766aa1,QL-D3,8583.67013549805,643.303252407908
10986,Burke-Gilman Trail,SDOT,ceb159ca-0ad2-436c-8fb4-452c96c7102f,QL-D3,1291.31997680664,218.99284280605
10987,Terminal 18 Public Access Park,Port,1d8f073b-24d9-4ad8-bf6b-e8ca8ab23d3a,QL-D3,56790.8348236084,1273.71292069382
10988,Seattle Center,CoS,1dddfe22-57fa-4cde-9132-91602ceb1cab,QL-D3,311369.118225098,2313.73753416858
10989,Burke-Gilman Trail,SDOT,a4e34a4e-86b3-40bd-a26d-3ba0db7635d7,QL-D3,15401.6473999023,2688.48781666936
10990,Burke-Gilman Trail,SDOT,0734441d-9d6e-43d0-86da-d19fe15854cc,QL-D3,25136.2229309082,1016.17196519991
10991,Burke-Gilman Trail,UW,d76ffc0e-1a17-40fc-8254-9b370943968c,QL-D3,207627.013275146,6567.14834618898
10992,Burke-Gilman Trail,SDOT,0a598bdf-4d7f-4bfb-9def-b37d9570b863,QL-D3,17636.0249328613,2541.39859682472
