OBJECTID,GB_KEY,GSI_KEY,PROJECT NAME,DEPARTMENT,PURPOSE,FUNDER,INSTALL YEAR,SEWER CLASSIFICATION CODE,CSO BASIN KEY,CSO BASIN NAME,CREEK WATERSHED KEY,CREEK WATERSHED NAME,SOURCE TYPE,SOURCE ID,BEST MANAGED PRACTICE,NUMBER OF BMPS,INFILTRATION SQ FT,IMPERVIOUS MANAGED SQ FT,AVG ANNUAL RUNOFF VOL MANAGED CB FT,AVG ANNUAL RUNOFF VOL MANAGED GLN,GlobalID,x,y
393045,2798,607,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,4443800740,RGN,,,1199,2468,18457,0f08699f-9745-4943-989e-629d21d0e3a6,1256759.0290277,254304.228088453
393046,2799,608,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,6021502725,RGN,,,670,1379,10314,92721af0-1c07-4941-9330-b15580dfd1c0,1258349.49302933,254098.16088824
393047,2800,609,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,6021500995,CRG,,,950,1955,14624,1ef9ff36-ac79-4e3e-b24b-82caedd2c8ec,1257852.91005282,255435.233977616
393048,2801,610,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,6021501630,RGN,,,654,1346,10068,7afa4acb-8b27-4353-bc4a-592fa69a735a,1257976.88387695,254944.989881113
393049,2802,611,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,3693901480,CRG,,,1720,3540,26477,6359bcf3-da48-4951-9da0-aa6962d7ea9b,1255821.78390674,250896.069876954
393050,2803,612,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,0225039057,CRG,,,1872,3853,28817,ac6e1b89-0c8f-4ab1-ae6a-8d776f4d3fbb,1256486.25008343,255121.484281287
393051,2804,613,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,7518506625,RGN,,,1425,2933,21936,05ca9721-23b7-435e-9396-c1f0b752de2a,1258307.02102929,252228.250934318
393052,2805,614,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,7518505420,RGN,,,916,1885,14101,15a3c1f2-a743-4b46-8c34-bea6fb8947c9,1258431.38102941,250707.308084771
393053,2806,615,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,1254201005,CST,,,588,556,4156,adab8ecd-a0d4-448d-8a20-9bad02a9de9a,1256424.57795537,252246.336822346
393054,2807,616,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,6021500650,RGN,,,1355,2789,20859,7f99e1be-36fb-409e-a95b-8793c04cd4a7,1258239.31805322,255627.548921809
393055,2808,617,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,2856101880,RGN,,,901,1854,13870,3a50654a-d715-4475-b11b-e10a563d95af,1256825.66307577,251287.690165356
393056,2809,618,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,1232001990,CRG,,,1486,3058,22875,37370026-0a4a-45b1-90b1-2d6a68c0c5b5,1259134.13194214,253378.1478955
393057,2810,619,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,0225039039,RGN,,,567,1167,8728,983adb04-d031-4c0c-a2a3-f90ed4f2de44,1256193.27689913,253670.971127808
393058,2811,620,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,6021503060,RGN,,,636,1309,9790,ddbac934-3723-4ffa-9538-edfc6a986fbf,1257827.4239088,254285.505016431
393059,2812,621,RAINWISE,SPU,RW,SPU,2011,C,,Ballard,,,PIN,4442800060,CST,,,896,847,6333,ed462fa2-fd26-4bca-8e7d-dd6178762fe1,1256229.60886717,255304.643065482
393060,2813,622,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,4443800410,CRG,,,1239,2550,19073,bc5384d5-bfd7-4868-845f-091d71a66f4d,1256347.79990728,253678.918967813
393061,2814,623,RAINWISE,SPU,RW,SPU,2011,C,,Ballard,,,PIN,1254200315,RGN,,,728,1498,11207,7a253107-6b05-4bc3-b935-a1b62c90aea5,1257232.46608418,251997.096822083
393062,2815,624,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,4442800055,CRG,,,1348,2774,20751,2b958acc-124c-4e65-b565-d7f553247959,1256222.56291516,255341.857849509
393063,2816,625,RAINWISE,SPU,RW,SPU,2011,C,,Ballard,,,PIN,2856101871,RGN,,,1080,2223,16625,cb80234e-4329-4793-86ef-52a0708853d8,1256826.64406778,251318.726133391
393064,2817,626,RAINWISE,SPU,RW,SPU,2011,C,,Ballard,,,PIN,7518507675,RGN,,,1104,2272,16995,11081417-5a1d-4a1e-b653-320b863b122f,1258039.16003701,251502.295989588
393065,2818,627,RAINWISE,SPU,RW,SPU,2011,C,,Ballard,,,PIN,6021503510,RGN,,,1092,2247,16810,90f2f241-17fc-4046-a4ed-e1584bcf810c,1257391.12918836,253265.549047381
393066,2819,628,RAINWISE,SPU,RW,SPU,2011,C,,Ballard,,,PIN,4443800665,RGN,,,848,1745,13054,5d288606-54b1-40fb-85fd-584958d9f631,1256620.82691556,253913.311864048
393067,2820,629,RAINWISE,SPU,RW,SPU,2011,C,,Ballard,,,PIN,2389100040,CST,,,532,503,3760,19d41b2c-6f44-42c4-bcd7-73f17c514eba,1259946.39997497,254565.100920722
393068,2821,630,RAINWISE,SPU,RW,SPU,2010,C,,Ballard,,,PIN,0225039070,CRG,,,1010,2079,15548,23d6faea-1e9a-472e-beb3-4d97f89ce07a,1256140.21206707,254351.019960493
393069,2822,631,RAINWISE,SPU,RW,SPU,2011,C,,Ballard,,,PIN,2856102030,RGN,,,1012,2083,15579,23b5b3ff-9965-4792-8c1b-6d8bdd5dcaa4,1256697.60592364,251433.36600551
