Agency,Site Name,Physical Address: Latitude,Physical Address: Longitude,Classrooms 15-16,Classrooms 16-17,Classrooms 17-18,Classrooms 18-19,Classrooms 19-20,19-20 Dual Language,19-20 Special Education
Associated Recreation Council (ARC),Bitter Lake Community Center (ARC),47.72408,-122.34857,0,0,0,1,1,Not Dual Language,Not Designated for Special Education
Associated Recreation Council (ARC),Meadowbrook Community Center (ARC),47.7057,-122.29153,0,0,0,1,1,Not Dual Language,Not Designated for Special Education
Causey's Learning Center,Causey's Learning Center- Main,47.60704,-122.30302,2,2,2,2,1,Not Dual Language,Not Designated for Special Education
Causey's Learning Center,Causey's Learning Center- MLK,47.5962,-122.3065,0,2,3,2,2,Not Dual Language,Not Designated for Special Education
Childcare Resources,A4 Apple Home Daycare (Family),47.59543,-122.30569,0,0,0,1,1,Not Dual Language,Not Designated for Special Education
Childcare Resources,Chelon Jackson (Family),47.53746,-122.27193,0,0,1,1,1,Not Dual Language,Not Designated for Special Education
Childcare Resources,Hashi Habibo Hassan (Family),47.71562,-122.31554,0,0,1,1,1,Not Dual Language,Not Designated for Special Education
Childcare Resources,Hobyo One Childcare (Family),47.72322,-122.3061,0,0,1,1,1,Not Dual Language,Not Designated for Special Education
Childcare Resources,Innsha Allah Family Childcare (Family),47.56793,-122.28503,0,0,0,0,1,Not Dual Language,Not Designated for Special Education
Childcare Resources,Jasmine Daycare (Family),47.52706,-122.27883,0,0,0,0,1,Not Dual Language,Not Designated for Special Education
Childcare Resources,Le Jardin Day Care and Preschool (Family),47.73325,-122.3056,0,0,1,1,1,Not Dual Language,Not Designated for Special Education
Childcare Resources,Life Academy Child Care (Family),47.59141,-122.29724,0,0,0,0,1,Not Dual Language,Not Designated for Special Education
Childcare Resources,Mohamed Fadumo (Family),47.71219,-122.29037,0,0,1,1,0,Not Dual Language,Not Designated for Special Education
Childcare Resources,Paulette & Ernist Chambers (Family),47.50069,-122.26849,0,0,1,1,1,Not Dual Language,Not Designated for Special Education
Childcare Resources,Strong Beers Marlene (Family),47.68931,-122.37238,0,0,1,1,0,Not Dual Language,Not Designated for Special Education
Children's Home Society,Genesse Early Learning Center (Children's Home Society),47.56432,-122.28582,0,2,2,2,2,Not Dual Language,Not Designated for Special Education
