X,Y,OBJECTID,school_ID,school_name,mapLabel,status,grades,esmshs,siteID,address,zip,Latitude,Longitude
-122.293009024934,47.709944861847,1,106,Jane Addams MS,Jane Addams,MS,6-8,MS,106,11051 34th Ave. NE,98125,47.709950686514,-122.293023646655
-122.314658339085,47.7134302314171,2,292,Hazel Wolf K-8,Hazel Wolf K-8,Option ELEM,K-8,ES,263,11530 12th Ave. NE,98125,47.7134360540258,-122.314672965205
-122.263172064205,47.498863321283,3,264,Rainier View,Rainier View,ELEM,K-5,ES,264,11650 Beacon Ave. S,98178,47.4988691374883,-122.263186633228
-122.377587813408,47.5097003606568,4,203,Arbor Heights,Arbor Heights,ELEM,K-5,ES,203,3701 SW 104th St.,98146,47.509706165659,-122.377602403869
-122.258636146464,47.5148204654414,5,221,Emerson,Emerson,ELEM,K-5,ES,221,9709 60th Ave. S,98118,47.5148262829933,-122.258650718315
-122.272009121329,47.5237429478992,6,291,South Shore K-8,South Shore K-8,Option ELEM,K-8,ES,131,4800 S Henderson St,98118,47.5237487645631,-122.272023697411
-122.265858983284,47.5240707646718,7,21,Rainier Beach,Rainier Beach,HS,9-12,HS,21,8815 Seward Park Ave S,98118,47.524076581988,-122.265873558417
-122.324690584152,47.5236109016963,8,215,Concord Int'l,Concord Int'l,ELEM,K-5,ES,215,723 S Concord St.,98108,47.523616712918,-122.324705168962
-122.274655654791,47.5249891889941,9,219,Dunlap,Dunlap,ELEM,K-5,ES,219,4525 S Cloverdale St.,98118,47.5249950054535,-122.274670231593
-122.270919626841,47.5252645773187,10,960,Sugiyama High,Sugiyama,Service School,9-12,HS,130,8601 Rainier Ave. S,98118,47.5252703941786,-122.270934203084
-122.348277286993,47.5251774942707,11,235,Highland Park,Highland Park,ELEM,K-5,ES,235,1012 SW Trenton St.,98106,47.5251833031442,-122.348291876072
-122.28903550729,47.5291516293077,12,275,Rising Star,Rising Star,ELEM,K-5,ES,938,8311 Beacon Ave. S,98118,47.5291574445123,-122.289050087421
-122.366154798809,47.5286320504163,13,18,Chief Sealth Int'l,Chief Sealth Int'l,HS,9-12,HS,18,2600 SW Thistle St.,98126,47.5286378576333,-122.366169391632
-122.284906008453,47.5307393432751,14,286,Wing Luke,Wing Luke,ELEM,K-5,ES,286,3701 S Kenyon St.,98118,47.530745158993,-122.284920588254
-122.366041530751,47.5316539580682,15,103,David T. Denny Int'l,Denny Int'l,MS,6-8,MS,103,2601 SW Kenyon St.,98126,47.5316597654621,-122.366056124235
-122.374927418131,47.5328376591848,16,267,Roxhill,Roxhill at E.C. Hughes,ELEM,K-5,ES,237,7740 34th Ave. SW,98126,47.5328434657259,-122.374942013355
-122.296268298114,47.5383331982934,17,110,Mercer,Mercer interim at Van Asselt,MS,6-8,MS,275,7201 Beacon Ave. S,98108,47.5383390132556,-122.296282881513
-122.358658082289,47.5396083901531,18,273,Sanislo,Sanislo,ELEM,K-5,ES,273,1812 SW Myrtle St.,98106,47.5396141987441,-122.358672676338
-122.388498218919,47.5402508857746,19,225,Gatewood,Gatewood,ELEM,K-5,ES,225,4320 SW Myrtle St.,98136,47.5402566913188,-122.388512818063
-122.276911759732,47.5417432062751,20,207,Martin Luther King Jr,MLK Jr.,ELEM,K-5,ES,207,6725 45th Ave. S,98118,47.5417490234223,-122.276926340679
-122.373492687303,47.5417618672396,21,236,West Seattle Elementary,West Seattle ES,ELEM,K-5,ES,236,6760 34th Ave. SW,98126,47.5417676744162,-122.373507284299
-122.268534249037,47.5457573099578,22,220,Graham Hill,Graham Hill,ELEM,K-5,ES,220,5149 S Graham St.,98118,47.5457631281902,-122.268548829493
-122.281980381889,47.5463218607493,23,130,Aki Kurose,Aki Kurose,MS,6-8,MS,112,3928 S Graham St.,98118,47.5463276776248,-122.28199496471
-122.29628697988,47.5522623590868,24,251,Dearborn Park,Dearborn Park Int'l,ELEM,K-5,ES,251,2820 S Orcas St.,98108,47.552268174811,-122.296301566418
-122.313911912494,47.5523720616427,25,12,Cleveland,Cleveland STEM,Option HS,9-12,HS,12,5511 15th Ave. S,98108,47.5523778755528,-122.313926501988
-122.38019123288,47.5525732013517,26,222,Fairmount Park,Fairmount Park,ELEM,K-5,ES,222,3800 SW Findlay St.,98126,47.5525790084261,-122.380205833424
-122.275956418027,47.5547787256636,27,939,Orca K-8,Orca K-8,Option ELEM,K-8,ES,283,5215 46th Ave. S,98118,47.5547845436251,-122.27597100175
-122.287115517701,47.5581790248764,28,364,Interagency at Columbia School,Interagency at Columbia,Service School,9-12,,213,3528 S Ferdinand St.,98118,47.5581848418721,-122.287130104047
-122.318898884675,47.5581257125768,29,252,Maple,Maple,ELEM,K-5,ES,252,4925 Corson Ave. S,98108,47.5581315262868,-122.318913476294
-122.357997123376,47.5636047847087,30,930,Pathfinder K-8,Pathfinder K-8,Option ELEM,K-8,ES,216,1901 SW Genesee St.,98106,47.5636105946783,-122.358011722725
-122.28338622379,47.5659051837791,31,233,Hawthorne,Hawthorne,ELEM,K-5,ES,233,4100 39th Ave. S,98118,47.5659110015835,-122.283400811258
-122.396888540609,47.5654925686329,32,270,Genesee Hill,Genesee Hill,ELEM,K-5,ES,227,5013 SW Dakota St.,98116,47.5654983746854,-122.396903146835
