OBJECTID_12_13_14,GRID_ID,TC_ID,OBJECTID,TC_ID_1,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,OBJECTID_1,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,TC_Land_A_1,Gain,Loss,No_Change,TreeCanopy_2016_Area,TreeCanopy_2021_Area,Change_Area,Change_PercentChange,TreeCanopy_2016_Percent,TreeCanopy_2021_Percent,Change_Percent_AbsDiff,TC_E_A_1,TC_Pv_A_1,TC_Pi_A_1,TC_P_A_1,TC_E_P_1,TC_Pv_P_1,TC_P_P_1,TC_Pi_P_1,TC_ID_12,OBJECTID_12,TC_ID_12_13,OBJECTID_12_13,TC_ID_12_13_14,TC_Land_A_12,Shape__Area,Shape__Length
1,T-38,1,1,,2178134,0,123036,0,0,56158,129166,1869774,123036,2055098,0,5.6486882808863,0,0,2.57826194348006,5.93012183823401,85.8429279373996,5.6486882808863,94.3513117191137,,0,123036,2178134,1869774,1992810,0,5.6486882808863,91.4916162182859,85.8429279373996,,0,16,0,16,0,-16,-100,0.000734573722277876,0,-0.000734573722277876,,,,,,,,,,,,,,,2178001.95581055,5493.56718096994
2,AC-35,2,2,,2178133,306538,439876,26681,0,446479,440549,518010,773095,1405038,14.0734289412079,20.1950936880347,1.2249481551402,0,20.4982432202258,20.2259917094135,23.7822942859779,35.4934707843828,64.5065292156172,,306538,439876,2178133,544691,984567,14.0734289412079,20.1950936880347,45.2023361291528,25.0072424411181,,38783,54087,267755,321842,306538,-15304,-4.75512829276477,14.7760490291456,14.0734289412079,-0.702620087937699,,,,,,,,,,,,,,,2178002.40643311,5493.56774923552
4,X-4,4,4,,2178132,562447,992679,3251,0,334726,128683,156346,1558377,619755,25.8224478589911,45.5747861011178,0.149256335245063,0,15.3675718459671,5.90795231877591,7.177985539903,71.546490295354,28.453509704646,,562447,992679,2178132,159597,1152276,25.8224478589911,45.5747861011178,52.9020279762659,7.32724187514806,,56138,56043,506309,562352,562447,95,0.0168933337126924,25.8180863235102,25.8224478589911,0.0043615354808999,,,,,,,,,,,,,,,2178001.69570923,5493.56685292266
6,AC-17,6,6,,2178134,736914,530215,0,0,532605,266715,111685,1267129,911005,33.8323537486674,24.3426253848478,0,0,24.452352334613,12.245114396084,5.12755413578779,58.1749791335152,41.8250208664848,,736914,530215,2178134,111685,641900,33.8323537486674,24.3426253848478,29.4701795206356,5.12755413578779,,74419,101046,662495,763541,736914,-26627,-3.48730454553194,35.0548221551107,33.8323537486674,-1.2224684064433,,,,,,,,,,,,,,,2178001.95584106,5493.56718098537
7,V-47,7,7,,2178133,1056329,447713,0,0,267258,72675,334158,1504042,674091,48.4969926078894,20.5548972445668,0,0,12.2700496250688,3.33657311100837,15.3414874114666,69.0518898524562,30.9481101475438,,1056329,447713,2178133,334158,781871,48.4969926078894,20.5548972445668,35.8963846560334,15.3414874114666,,43224,169357,1013105,1182462,1056329,-126133,-10.6669812645142,54.2878694735354,48.4969926078894,-5.790876865646,,,,,,,,,,,,,,,2178001.69569397,5493.56685289787
8,T-39,8,8,,2178135,38422,169964,30120,571673,224147,374830,768979,810179,1367956,1.76398616247386,7.80318942581612,1.38283439731697,26.2459856712279,10.29077628338,17.2087588693997,35.3044691903854,37.1959956568349,62.8040043431651,,38422,169964,1606462,799099,969063,2.3917154591892,10.5800199444494,60.3228087561362,49.7427888116868,,10105,6320,28317,34637,38422,3785,10.9276207523746,2.15610453281808,2.3917154591892,0.23561092637112,,,,,,,,,,,,,,,2178002.40644836,5493.56774922904
9,AF-47,9,9,,2178134,426191,793598,3154,0,459589,226125,269477,1222943,955191,19.5667943294582,36.4347648032674,0.144802845004026,0,21.1001251529979,10.3815926843803,12.3719201848922,56.1463619777296,43.8536380222704,,426191,793598,2178134,272631,1066229,19.5667943294582,36.4347648032674,48.9514878331636,12.5167230298962,,74138,40036,352053,392089,426191,34102,8.69751510498892,18.0011422621381,19.5667943294582,1.5656520673201,,,,,,,,,,,,,,,2178001.43551636,5493.56652480395
10,W-48,10,10,,2178134,329990,411963,8253,0,278694,337502,811732,750206,1427928,15.1501239134048,18.9135746469225,0.378902308122457,0,12.7950805597819,15.4950062760142,37.2673122957541,34.4426008684498,65.5573991315502,,329990,411963,2178134,819985,1231948,15.1501239134048,18.9135746469225,56.5597892507991,37.6462146038765,,17372,43839,312618,356457,329990,-26467,-7.42501900650008,16.3652465826253,15.1501239134048,-1.2151226692205,,,,,,,,,,,,,,,2178002.14628601,5493.56742118002
13,AB-8,13,13,,2178134,998672,630528,0,0,299962,202254,46718,1629200,548934,45.8498880234182,28.9480812475266,0,0,13.7715126801198,9.28565460159935,2.14486344733611,74.7979692709448,25.2020307290552,,998672,630528,2178134,46718,677246,45.8498880234182,28.9480812475266,31.0929446948627,2.14486344733611,,70135,101882,928537,1030419,998672,-31747,-3.08097967914023,47.3074200209904,45.8498880234182,-1.4575319975722,,,,,,,,,,,,,,,2178001.43554688,5493.56652484283
14,AE-12,14,14,,2178134,828938,702059,2894,0,392615,233256,18372,1533891,644243,38.0572545123486,32.2321308055427,0.132866022017011,0,18.025291373258,10.708983010228,0.843474276605572,70.4222513399084,29.5777486600916,,828938,702059,2178134,21266,723325,38.0572545123486,32.2321308055427,33.2084711041653,0.976340298622582,,82528,78964,746410,825374,828938,3564,0.431804248740571,37.8936282157112,38.0572545123486,0.163626296637396,,,,,,,,,,,,,,,2178002.40640259,5493.5677492365
15,AK-12,15,15,,2178132,56768,171896,23869,1221296,189698,51272,463333,1473829,704303,2.60626995976369,7.89190003177034,1.09584726729142,56.0707982803613,8.709205869984,2.3539436544709,21.2720349363583,67.6648155391868,32.3351844608132,,56768,171896,956836,487202,659098,5.93288714053401,17.9650431212872,68.8830687808569,50.9180256595697,,10073,7234,46695,53929,56768,2839,5.2643290251998,5.63618007683657,5.93288714053401,0.29670706369744,,,,,,,,,,,,,,,2178002.14627075,5493.56742114011
16,Y-49,16,16,,2178133,505943,805357,19517,0,294181,391516,161619,1330817,847316,23.2282877124583,36.9746475536618,0.896042619986934,0,13.5061082128594,17.9748435931139,7.42007030791967,61.098977886107,38.9010221138929,,505943,805357,2178133,181136,986493,23.2282877124583,36.9746475536618,45.2907604815684,8.31611292790661,,65292,80357,440651,521008,505943,-15065,-2.89151030310475,23.9199351003818,23.2282877124583,-0.691647387923499,,,,,,,,,,,,,,,2178001.95579529,5493.56718096805
17,AG-26,17,17,,2178136,819713,490520,5464,340971,305766,132007,83695,1656668,521468,37.633692294696,22.5201732123247,0.250856695816974,15.6542566671686,14.0379664079745,6.06054901989591,3.84250570212328,76.0589788700063,23.9410211299937,,819713,490520,1837165,89159,579679,44.6183657973018,26.69983371118,31.5529089657162,4.8530752545362,,82902,56092,736811,792903,819713,26810,3.38124587749069,43.1590521265101,44.6183657973018,1.4593136707917,,,,,,,,,,,,,,,2178001.95587158,5493.56718099578
18,X-24,18,18,,2178132,6771,8355,0,2012230,94719,473,55584,2027356,150776,0.310862702535934,0.383585567816827,0,92.3832899016221,4.34863451801819,0.0217158556047108,2.55191145440221,93.0777381719749,6.92226182802512,,6771,8355,165902,55584,63939,4.08132511964895,5.03610565273475,38.5402225410182,33.5041168882834,,487,304,6284,6588,6771,183,2.77777777777778,3.97101903533411,4.08132511964895,0.11030608431484,,,,,,,,,,,,,,,2178002.14633179,5493.56742118719
21,AA-21,21,21,,2178134,274670,231337,0,1183097,268267,96480,124283,1689104,489030,12.610335268629,10.6208800744123,0,54.3169979441118,12.3163680471449,4.4294795453356,5.70593912036633,77.5482132871531,22.4517867128469,,274670,231337,995037,124283,355620,27.6039986452765,23.2490852098967,35.7393745157215,12.4902893058248,,34873,37531,239797,277328,274670,-2658,-0.958431892921018,27.8711243903493,27.6039986452765,-0.2671257450728,,,,,,,,,,,,,,,2178002.40640259,5493.5677492177
