OBJECTID_12_13_14_15_16,OBJECTID,TRACT,TRACTCE10,GEOID10,NAME10,NAMELSAD10,ACRES_TOTA,WATER,SHAPE_Leng,TC_ID,OBJECTID_1,TRACT_1,TRACTCE10_1,GEOID10_1,NAME10_1,NAMELSAD10_1,ACRES_TOTAL,PCT_PEOPLE_OF_COLOR,PTL_PEOPLE_OF_COLOR,PCT_ENGLISH_LESSTHAN_VERY_WELL,PTL_ENGLISH_LESSTHAN_VERY_WELL,PCT_FOREIGN_BORN,PTL_FOREIGN_BORN,PCT_POP_INC_UNDER_200_POVERTY,PTL_POP_INC_UNDER_200_POVERTY,PCT_LESS_BACHELOR_DEGREE,PTL_LESS_BACHELOR_DEGREE,PCT_ADULTNOLEISUREPHYSACTIVITY,PCT_ADULT_WITH_DIABETES,PCT_ADULT_OBESE,PCT_ADULTMENTALHEALTHNOTGOOD,PCT_ADULT_WITH_ASTHMA,PCT_ADULT_WITH_DISABILITIES,PCT_LOW_LIFE_EXPECT_AT_BIRTH,PTL_ADULTNOLEISUREPHYSACTIVITY,PTL_ADULT_DIAGNOSED_DIABETES,PTL_ADULT_OBESE,PTL_ADULTMENTALHEALTHNOTGOOD,PTL_ADULT_WITH_ASTHMA,PTL_ADULT_WITH_DISABILITIES,PTL_LOW_LIFE_EXPECT_AT_BIRTH,COMPOSITE_PERCENTILE,COMPOSITE_QUINTILE,RACE_ELL_ORIGINS_PERCENTILE,RACE_ELL_ORIGINS_QUINTILE,SOCIOECONOMIC_PERCENTILE,SOCIOECONOMIC_QUINTILE,HEALTH_PERCENTILE,HEALTH_QUINTILE,RSE_Priority_Rank,OBJECTID_12,TC_ID_1,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,TC_Land_A_1,Gain,Loss,No_Change,TreeCanopy_2016_Area,TreeCanopy_2021_Area,Change_Area,Change_PercentChange,TreeCanopy_2016_Percent,TreeCanopy_2021_Percent,Change_Percent_AbsDiff,OBJECTID_12_13,OBJECTID_12_13_14,TC_ID_12,OBJECTID_12_13_14_15,TC_ID_12_13,Shape__Area,Shape__Length
1,1,2500,002500,53033002500,25,Census Tract 25,243.21908274,0,16442.9684017039,1,51,,,,,,243.21908274,0.13395535,0.068,0.01332373,0.113,0.07530823,0.121,0.16861046,0.376,0.32288947,0.407,0.117,0.056,0.21,0.085,0.085,0.11849344,0.861,0.24,0.36,0.315,0.195,0.24,0.699,0.143,0.241,Second lowest,0.061,Lowest,0.422,Middle,0.294,Second lowest,2,,,10594443,3395005,3779338,59451,0,1902111,1273968,184570,7233794,3360649,32.0451485745876,35.6728333901084,0.561152672207496,0,17.9538556203474,12.0248700191223,1.74213972362681,68.2791346369035,31.7208653630965,3395005,3779338,10594443,244021,4023359,32.0451485745876,35.6728333901084,37.9761257859427,2.30329239583431,,414306,389451,2980699,3370150,3395005,24855,0.737504265388781,31.8105444524077,32.0451485745876,0.234604122179903,,,,,,10594621.9230347,16442.9674179067
2,2,2600,002600,53033002600,26,Census Tract 26,307.58442044,0,15936.1370583039,2,52,,,,,,307.58442044,0.19996009,0.301,0.01747656,0.196,0.11534624,0.361,0.17980443,0.437,0.26623559,0.234,0.119,0.051,0.217,0.09,0.086,0.06034913,0.8528,0.278,0.285,0.428,0.368,0.345,0.127,0.234,0.301,Second lowest,0.286,Second lowest,0.324,Second lowest,0.279,Second lowest,2,,,13398378,3626286,3893929,3593,370552,2854186,1956221,693611,7894360,5504018,27.0651119113075,29.0626895285385,0.0268166788547091,2.76564820010303,21.3024740755933,14.6004314850648,5.17682812053817,58.9202663188037,41.0797336811963,3626286,3893929,13027826,697204,4591133,27.8349280992853,29.8893230535931,35.2409757391602,5.35165268556703,,487826,476194,3138460,3614654,3626286,11632,0.321801201442794,27.7456422890511,27.8349280992853,0.0892858102341876,,,,,,13398375.7356873,15936.1363893614
3,3,5600,005600,53033005600,56,Census Tract 56,737.51172746,0,30337.2943538308,3,53,,,,,,737.51172746,0.1328703,0.061,0.02339824,0.301,0.08108108,0.151,0.05239318,0.008,0.22036627,0.083,0.113,0.068,0.209,0.074,0.082,0.09990431,0.8324,0.157,0.593,0.285,0.015,0.037,0.481,0.459,0.061,Lowest,0.121,Lowest,0.023,Lowest,0.256,Second lowest,1,,,32125918,10485857,9846767,142160,366,5456412,3964655,2229701,20475150,11650768,32.6398672872165,30.6505389200084,0.442508755703106,0.00113926705534142,16.9844547321574,12.3409858669253,6.94050517093395,63.7340542299834,36.2659457700166,10485857,9846767,32125552,2371861,12218628,32.6402391467079,30.6508881154789,38.0339861553196,7.38309803984069,,1203617,1121905,9282240,10404145,10485857,81712,0.785379288735403,32.385887096975,32.6402391467079,0.254352049732873,,,,,,32126006.7912292,30337.292893567
4,4,6800,006800,53033006800,68,Census Tract 68,177.43877075,0,11275.3764903467,4,116,,,,,,177.43877075,0.14791479,0.091,0.03012048,0.354,0.14431443,0.512,0.1080108,0.113,0.1769838,0.016,0.109,0.05,0.208,0.082,0.084,0.06779661,0.8103,0.105,0.255,0.255,0.097,0.135,0.172,0.67,0.083,Lowest,0.271,Second lowest,0.038,Lowest,0.151,Lowest,1,,,7729238,2295449,1495502,45334,0,1945977,979234,967742,3836285,3892953,29.6982574478881,19.3486343673206,0.58652612327373,0,25.176828556709,12.6692178452779,12.5205356595307,49.6334179384824,50.3665820615176,2295449,1495502,7729238,1013076,2508578,29.6982574478881,19.3486343673206,32.455696150125,13.1070617828045,,298126,220819,1997323,2218142,2295449,77307,3.48521420179592,28.698068295995,29.6982574478881,1.00018915189311,,,,,,7729232.57974243,11275.3761559268
5,5,6000,006000,53033006000,60,Census Tract 60,324.56743167,0,19729.922874753,5,36,,,,,,324.56743167,0.18274384,0.226,0.00770677,0.031,0.12683101,0.422,0.14588713,0.324,0.23030449,0.121,0.111,0.05,0.2,0.085,0.086,0.08082308,0.8147,0.127,0.255,0.082,0.195,0.345,0.293,0.625,0.158,Lowest,0.226,Second lowest,0.158,Lowest,0.241,Second lowest,1,,,14138155,4659867,2357191,0,13785,2880188,1995335,2231789,7030843,7107312,32.9595127511334,16.6725502726487,0,0.0975021139604142,20.3717387452606,14.1131215494525,15.7855745675443,49.7295651377425,50.2704348622575,4659867,2357191,14124370,2231789,4588980,32.9916803368929,16.6888222271153,32.4898030850226,15.8009808579073,,479669,502654,4180198,4682852,4659867,-22985,-0.490833363941461,33.1544132587861,32.9916803368929,-0.162732921893145,,,,,,14138154.8451538,19729.9221793608
6,6,5900,005900,53033005900,59,Census Tract 59,447.91950792,0,24649.7666705492,6,1,,,,,,447.91950792,0.18453674,0.241,0.01304059,0.098,0.09533546,0.241,0.19525605,0.482,0.21139327,0.076,0.114,0.044,0.2,0.102,0.095,0.05328341,0.8622,0.18,0.142,0.082,0.609,0.819,0.075,0.121,0.166,Lowest,0.181,Lowest,0.241,Second lowest,0.264,Second lowest,1,,,19511389,5493543,4471103,7241,21462,3950011,2335720,3232309,9993349,9518040,28.155571087225,22.9153495940243,0.0371116582217699,0.109997294400722,20.2446427571097,11.9710595693623,16.5662680396562,51.2180296338718,48.7819703661282,5493543,4471103,19489927,3239550,7710653,28.1865755577227,22.9405836153209,39.5622466928686,16.6216630775477,,658379,666270,4835164,5501434,5493543,-7891,-0.143435329770384,28.2270631388204,28.1865755577227,-0.0404875810976577,,,,,,19511372.8277283,24649.7656802197
7,8,5700,005700,53033005700,57,Census Tract 57,1229.15600248,0,44813.5428417101,8,37,,,,,,1229.15600248,0.18761221,0.249,0.01389562,0.128,0.14602035,0.527,0.08916816,0.076,0.32980024,0.429,0.122,0.065,0.215,0.083,0.084,0.09976387,0.8576,0.345,0.526,0.398,0.127,0.135,0.473,0.158,0.234,Second lowest,0.279,Second lowest,0.204,Second lowest,0.286,Second lowest,2,,,53542129,25104885,15210270,777018,229359,5070099,3842993,3307505,41321532,12220597,46.8880962876915,28.4080410773356,1.45122731298189,0.428371086999548,9.4693638349719,7.17751249674812,6.17738790327146,77.1757357650085,22.8242642349915,25104885,15210270,53312770,4084523,19294793,47.0898154419663,28.5302564470013,36.1916910338742,7.6614345868729,,1972087,2031962,23132798,25164760,25104885,-59875,-0.237931933386211,47.2021243690771,47.0898154419663,-0.11230892711071,,,,,,53542030.8123169,44813.5398695874
8,9,4900,004900,53033004900,49,Census Tract 49,270.63279041,0,16136.3441744321,9,117,,,,,,270.63279041,0.14799545,0.098,0.01617978,0.166,0.07776514,0.143,0.18008658,0.444,0.23399322,0.136,0.099,0.034,0.192,0.083,0.083,0.04254317,0.7774,0,0.015,0.015,0.127,0.082,0.03,0.918,0.106,Lowest,0.106,Lowest,0.256,Second lowest,0.106,Lowest,1,,,11788767,2677555,2095504,16990,2069,3398548,2053358,1544743,4792118,6996649,22.7127654656335,17.7754297798913,0.144120245993495,0.017550605589202,28.8286976916246,17.4179199571931,13.1035162540747,40.6498660971075,59.3501339028925,2677555,2095504,11786698,1561733,3657237,22.7167523932487,17.7785500230853,31.0285119717159,13.2499619486306,,336359,361511,2341196,2702707,2677555,-25152,-0.930622520310193,22.9301454911291,22.7167523932487,-0.213393097880338,,,,,,11788763.4657288,16136.3431796016
9,10,5801,005801,53033005801,58.01,Census Tract 58.01,449.98414502,0,26367.9369935514,10,118,,,,,,449.98414502,0.25924469,0.474,0.0569712,0.594,0.14221086,0.504,0.18888889,0.467,0.44395203,0.632,0.13,0.054,0.221,0.098,0.09,0.07949791,0.833,0.473,0.33,0.533,0.548,0.639,0.285,0.452,0.564,Middle,0.534,Middle,0.564,Middle,0.512,Middle,3,,,19601435,3570924,3868047,17992,34876,4174368,2443583,5491645,7491839,12109596,18.2176662065813,19.7334889001749,0.0917891980867727,0.177925748803595,21.2962367296068,12.4663474893547,28.0165457273919,38.2208700536466,61.7791299463534,3570924,3868047,19566559,5509637,9377684,18.2501379010995,19.7686624408513,47.9270984744942,28.1584360336429,,427052,382545,3143872,3526417,3570924,44507,1.26210258174232,18.0226732763794,18.2501379010995,0.227464624720167,,,,,,19601306.8161011,26367.9354863693
10,11,4800,004800,53033004800,48,Census Tract 48,330.28224693,0,18725.1423901596,11,119,,,,,,330.28224693,0.15850313,0.143,0.01296859,0.091,0.06759404,0.076,0.12147335,0.196,0.23758201,0.151,0.105,0.043,0.208,0.084,0.084,0.04254376,0.8611,0.052,0.105,0.255,0.172,0.135,0.037,0.136,0.031,Lowest,0.076,Lowest,0.106,Lowest,0.038,Lowest,1,,,14387211,3702128,3201905,23862,3649,3246933,2157433,2051301,6931544,7455667,25.732075521795,22.2552168033123,0.165855633868162,0.0253628031172963,22.5681892063722,14.9954914819835,14.2578085495514,48.1785107620928,51.8214892379072,3702128,3201905,14383562,2075163,5277068,25.7386035531393,22.260862782112,36.6881861391497,14.4273233570377,,485031,522755,3217097,3739852,3702128,-37724,-1.0087030181943,26.0008751656926,25.7386035531393,-0.262271612553278,,,,,,14387093.65271,18725.1412708738
