Month,Percent Responded in < 14 Days
01/31/2012,79.2
02/28/2012,76.9
03/31/2012,84
04/30/2012,84.8
05/31/2012,96.9
06/30/2012,83
07/31/2012,85
08/31/2012,58
09/30/2012,84
10/31/2012,86.8
11/30/2012,89.3
12/31/2012,82
01/31/2013,95
02/28/2013,91
03/31/2013,93
04/30/2013,97
05/31/2013,98
06/30/2013,96
07/31/2013,98
08/31/2013,93
09/30/2013,95
10/31/2013,90
11/30/2013,84
12/31/2013,91.7
01/31/2014,94.7
02/28/2014,91.9
03/31/2014,98.5
04/30/2014,99
05/31/2014,95.1
06/30/2014,98.1
07/31/2014,99.4
08/31/2014,89.8
09/30/2014,97
10/31/2014,96.7
11/30/2014,94.6
12/31/2014,89.8
02/28/2015,95.4
01/31/2015,89.9
03/31/2015,97.5
04/30/2015,93.3
05/31/2015,100
06/30/2015,99.4
07/31/2015,97.9
08/31/2015,93.2
09/30/2015,98.4
10/31/2015,98.2
11/30/2015,85.3
12/31/2015,78.03
02/29/2016,99.4
01/31/2016,83.96
03/31/2016,99.32
04/30/2016,99.13
05/31/2016,98.98
06/30/2016,96.18
07/31/2016,99.26
08/31/2016,84.03
09/30/2016,94.76
10/31/2016,89.64
11/30/2016,90.81
12/31/2016,98.51
01/31/2017,98.9
02/28/2017,99.1
03/31/2017,98.57
04/30/2017,97.52
05/31/2017,98.48
06/30/2017,98.41
07/31/2017,98.33
08/31/2017,95.74
09/30/2017,100
10/31/2017,89.64
11/30/2017,86.53
01/01/2018,91.69
02/01/2018,86.88
03/01/2018,91.81
04/01/2018,92.93
05/01/2018,94.77
06/01/2018,81.6
07/01/2018,88.43
08/01/2018,91.1
09/01/2018,98.76
10/01/2018,81.63
11/01/2018,74.28
12/01/2018,92.69
01/01/2019,70.04
02/01/2019,91.35
03/01/2019,95.92
04/01/2019,91.54
